,FAA,name,state,city
0,KLAX,Los Angeles International Airport,CA,Los Angeles
1,KORD,Chicago O'Hare International Airport,IL,Chicago
2,KJFK,John F Kennedy International Airport,NY,New York
3,KATL,Hartsfield Jackson Atlanta International Airport,GA,Atlanta
4,KSFO,San Francisco International Airport,CA,San Francisco
5,KEWR,Newark Liberty International Airport,NJ,Newark
6,KDFW,Dallas Fort Worth International Airport,TX,Dallas-Fort Worth
7,KLAS,Harry Reid International Airport,NV,Las Vegas
8,KMCO,Orlando International Airport,FL,Orlando
9,KDEN,Denver International Airport,CO,Denver
10,KIAD,Washington Dulles International Airport,VA,Dulles
11,KLGA,LaGuardia Airport,NY,New York
12,KMIA,Miami International Airport,FL,Miami
13,KSEA,Seattle–Tacoma International Airport,WA,Seattle
14,KPHX,Phoenix Sky Harbor International Airport,AZ,Phoenix
15,KBOS,Logan International Airport,MA,Boston
16,KPHL,Philadelphia International Airport,PA,Philadelphia
17,KCLT,Charlotte Douglas International Airport,NC,Charlotte
18,KIAH,George Bush Intercontinental Houston Airport,TX,Houston
19,KDCA,Ronald Reagan Washington National Airport,DC,Washington
20,KDTW,Detroit Metropolitan Wayne County Airport,MI,Detroit
21,KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,MN,Minneapolis
22,KSLC,Salt Lake City International Airport,UT,Salt Lake City
23,KFLL,Fort Lauderdale Hollywood International Airport,FL,Fort Lauderdale
24,KMDW,Chicago Midway International Airport,IL,Chicago
25,KBWI,Baltimore/Washington International Thurgood Marshall Airport,MD,Baltimore
26,KSAN,San Diego International Airport,CA,San Diego
27,KSTL,St. Louis Lambert International Airport,MO,St Louis
28,PHNL,Daniel K Inouye International Airport,HI,"Honolulu, Oahu"
29,KPDX,Portland International Airport,OR,Portland
30,KMSY,Louis Armstrong New Orleans International Airport,LA,New Orleans
31,KTPA,Tampa International Airport,FL,Tampa
32,KBNA,Nashville International Airport,TN,Nashville
33,KCVG,Cincinnati Northern Kentucky International Airport,KY,Cincinnati / Covington
34,KRDU,Raleigh Durham International Airport,NC,Raleigh/Durham
35,KAUS,Austin Bergstrom International Airport,TX,Austin
36,KPIT,Pittsburgh International Airport,PA,Pittsburgh
37,KSAT,San Antonio International Airport,TX,San Antonio
38,KSJC,Norman Y. Mineta San Jose International Airport,CA,San Jose
39,KMCI,Kansas City International Airport,MO,Kansas City
40,KOAK,San Francisco Bay Oakland International Airport,CA,Oakland
41,KSNA,John Wayne Orange County International Airport,CA,Santa Ana
42,KMEM,Memphis International Airport,TN,Memphis
43,KCLE,Cleveland Hopkins International Airport,OH,Cleveland
44,KHOU,William P Hobby Airport,TX,Houston
45,KDAL,Dallas Love Field,TX,Dallas
46,KIND,Indianapolis International Airport,IN,Indianapolis
47,KABQ,Albuquerque International Sunport,NM,Albuquerque
48,KCMH,John Glenn Columbus International Airport,OH,Columbus
49,KMKE,General Mitchell International Airport,WI,Milwaukee
50,KTUS,Tucson International Airport / Morris Air National Guard Base,AZ,Tucson
51,KJAX,Jacksonville International Airport,FL,Jacksonville
52,KBUF,Buffalo Niagara International Airport,NY,Buffalo
53,KBDL,Bradley International Airport,CT,Hartford
54,PANC,Ted Stevens Anchorage International Airport,AK,Anchorage
55,KOKC,Will Rogers World Airport,OK,Oklahoma City
56,PHOG,Kahului International Airport,HI,Kahului
57,KSMF,Sacramento International Airport,CA,Sacramento
58,KOMA,Eppley Airfield,NE,Omaha
59,KBUR,Hollywood Burbank Airport,CA,Burbank
60,KCHS,Charleston International Airport,SC,Charleston
61,KPBI,Palm Beach International Airport,FL,West Palm Beach
62,KSDF,Louisville Muhammad Ali International Airport,KY,Louisville
63,KELP,El Paso International Airport,TX,El Paso
64,KRNO,Reno Tahoe International Airport,NV,Reno
65,KPVD,Theodore Francis Green State Airport,RI,Warwick
66,KORF,Norfolk International Airport,VA,Norfolk
67,KLGB,Long Beach Airport (Daugherty Field),CA,Long Beach
